node_id,community,RNL
311146,"1,1,",3
311192,"1,1,",3
311600,"1,1,",3
311656,"1,1,",3
312086,"1,1,",3
312227,"1,1,",3
312399,"1,1,",3
312872,"1,1,",3
313371,"1,1,",3
313466,"1,1,",3
313683,"1,1,",3
313734,"1,1,",3
314352,"1,1,",3
315236,"1,1,",3
315244,"1,1,",3
315247,"1,1,",3
315250,"1,1,",3
315458,"1,1,",3
315463,"1,1,",3
315859,"1,1,",3
315916,"1,1,",3
316147,"1,1,",3
316163,"1,1,",3
316226,"1,1,",3
316391,"1,1,",3
316455,"1,1,",3
316592,"1,1,",3
317163,"1,1,",3
317404,"1,1,",3
318666,"1,1,",3
319157,"1,1,",3
319644,"1,1,",3
320072,"1,1,",3
320986,"1,1,",3
321058,"1,1,",3
321299,"1,1,",3
321836,"1,1,",3
322916,"1,1,",3
323742,"1,1,",3
323935,"1,1,",3
324268,"1,1,",3
324388,"1,1,",3
324781,"1,1,",3
325304,"1,1,",3
326187,"1,1,",3
326250,"1,1,",3
326354,"1,1,",3
326391,"1,1,",3
326994,"1,1,",3
327395,"1,1,",3
327409,"1,1,",3
327487,"1,1,",3
327532,"1,1,",3
327777,"1,1,",3
328746,"1,1,",3
330222,"1,1,",3
330659,"1,1,",3
331560,"1,1,",3
331664,"1,1,",3
331802,"1,1,",3
332975,"1,1,",3
333523,"1,1,",3
334307,"1,1,",3
334356,"1,1,",3
334504,"1,1,",3
334579,"1,1,",3
334655,"1,1,",3
335055,"1,1,",3
335081,"1,1,",3
335273,"1,1,",3
335404,"1,1,",3
335598,"1,1,",3
335664,"1,1,",3
335768,"1,1,",3
336244,"1,1,",3
336664,"1,1,",3
337782,"1,1,",3
337826,"1,1,",3
337851,"1,1,",3
337886,"1,1,",3
337964,"1,1,",3
338821,"1,1,",3
338895,"1,1,",3
338930,"1,1,",3
339917,"1,1,",3
340005,"1,1,",3
340229,"1,1,",3
340916,"1,1,",3
342513,"1,1,",3
342523,"1,1,",3
342578,"1,1,",3
344454,"1,1,",3
345235,"1,1,",3
345286,"1,1,",3
345365,"1,1,",3
345865,"1,1,",3
345937,"1,1,",3
346193,"1,1,",3
346290,"1,1,",3
346964,"1,1,",3
347186,"1,1,",3
347244,"1,1,",3
347268,"1,1,",3
347825,"1,1,",3
347827,"1,1,",3
347939,"1,1,",3
348045,"1,1,",3
348494,"1,1,",3
348775,"1,1,",3
349789,"1,1,",3
350271,"1,1,",3
350953,"1,1,",3
351627,"1,1,",3
351664,"1,1,",3
351757,"1,1,",3
352066,"1,1,",3
352779,"1,1,",3
352814,"1,1,",3
352847,"1,1,",3
353928,"1,1,",3
354979,"1,1,",3
355137,"1,1,",3
355746,"1,1,",3
356372,"1,1,",3
356904,"1,1,",3
357230,"1,1,",3
357247,"1,1,",3
357360,"1,1,",3
357417,"1,1,",3
357465,"1,1,",3
357532,"1,1,",3
358248,"1,1,",3
358367,"1,1,",3
358558,"1,1,",3
360608,"1,1,",3
360968,"1,1,",3
361056,"1,1,",3
361170,"1,1,",3
